country	participants
AT	5714
BE	7741
BG	1952
CH	2860
CY	350
CZ	7299
DE	34891
DK	3646
EE	1153
ES	39249
FI	5496
FR	35311
GR	4249
HR	1124
HU	4387
IE	2762
IS	255
IT	25224
LI	26
LT	3529
LU	405
LV	2149
MT	208
NL	10061
NO	1707
PL	16219
PT	7041
RO	5011
SE	3728
SI	1821
SK	3008
TR	14399
UK	14572
