country	Male	Female
??	2	1
AT	2422	3758
BE	3276	5817
BG	454	601
CH	1919	2372
CY	279	545
CZ	3161	3268
DE	12446	17872
DK	2843	3557
EE	597	675
ES	13112	26839
FI	3274	3978
FR	8942	20275
GR	957	1550
HR	275	425
HU	1980	2330
IE	2491	3779
IS	279	341
IT	6775	13188
LI	29	33
LT	1254	1068
LU	294	252
LV	567	567
MK	1	0
MT	590	1062
NL	4261	6014
NO	2065	2545
PL	5849	4902
PT	3845	6024
RO	1239	897
SE	5236	5547
SI	850	1068
SK	739	812
TR	2361	3774
UK	9921	17226
