country	percentage
???	66
AT	39
BE	38
BEDE	73
BEFR	33
BENL	36
BG	43
CH	44
CY	33
CZ	49
DE	41
DK	44
EE	46
ES	32
FI	45
FR	30
GR	38
HR	39
HU	45
IE	39
IS	45
IT	33
LI	46
LT	54
LU	53
LV	50
MK	100
MT	35
NL	41
NO	44
PL	54
PT	38
RO	58
SE	48
SI	44
SK	47
TR	38
UK	36
