country	percentage
???	33
AT	60
BE	61
BEDE	26
BEFR	66
BENL	63
BG	56
CH	55
CY	66
CZ	50
DE	58
DK	55
EE	53
ES	67
FI	54
FR	69
GR	61
HR	60
HU	54
IE	60
IS	55
IT	66
LI	53
LT	45
LU	46
LV	50
MK	0
MT	64
NL	58
NO	55
PL	45
PT	61
RO	41
SE	51
SI	55
SK	52
TR	61
UK	63
