country	percentage
AT	64
BE	61
BG	63
CH	58
CY	69
CZ	66
DE	62
DK	61
EE	73
ES	55
FI	65
FR	56
GR	69
HR	69
HU	63
IE	60
IS	60
IT	58
LI	30
LT	69
LU	56
LV	73
MT	55
NL	62
NO	65
PL	71
PT	54
RO	65
SE	58
SI	65
SK	68
TR	53
UK	65
