country	participants
???	2
AT	2422
BE	1023
BEDE	11
BEFR	858
BENL	1384
BG	454
CH	1919
CY	279
CZ	3161
DE	12446
DK	2843
EE	597
ES	13112
FI	3274
FR	8942
GR	957
HR	275
HU	1980
IE	2491
IS	279
IT	6775
LI	29
LT	1254
LU	294
LV	567
MK	1
MT	590
NL	4261
NO	2065
PL	5849
PT	3845
RO	1239
SE	5236
SI	850
SK	739
TR	2361
UK	9921
