country	participants
??	1
AT	3758
BE	5817
BG	601
CH	2372
CY	545
CZ	3268
DE	17872
DK	3557
EE	675
ES	26839
FI	3978
FR	20275
GR	1550
HR	425
HU	2330
IE	3779
IS	341
IT	13188
LI	33
LT	1068
LU	252
LV	567
MT	1062
NL	6014
NO	2545
PL	4902
PT	6024
RO	897
SE	5547
SI	1068
SK	812
TR	3774
UK	17226
