country	participants
??	3
AT	6180
BE	9093
BG	1055
CH	4291
CY	824
CZ	6429
DE	30318
DK	6400
EE	1272
ES	39951
FI	7252
FR	29217
GR	2507
HR	700
HU	4310
IE	6270
IS	620
IT	19963
LI	62
LT	2322
LU	546
LV	1134
MK	1
MT	1652
NL	10275
NO	4610
PL	10751
PT	9869
RO	2136
SE	10783
SI	1918
SK	1551
TR	6135
UK	27147
